Island,Atoll,SIZE,Rats,non-native_forest_ha,non-native_forest_percent
Eagle Island,GCB,265.4,Present,192,72.35
Middle Brother,GCB,8,Absent,3,37.5
Nelson's Island,GCB,29,Absent,0,0
South Brother,GCB,23,Absent,0,0
Ile Anglaise_PB,PB,12,Present,8.4,70
Grande Ile Coquillage,PB,21.8,Absent,0,0
Grande Ile Mapou,PB,19.5,Present,16.6,84.92
Ile Longue,PB,21.6,Absent,0,0
Ile Poule,PB,108,Present,60,55.56
Ile Anglaise_SAL,SAL,71.6,Present,65.1,90.97
Ile Fouquet,SAL,45.4,Present,33.4,73.57
Ile de la Passe,SAL,27.5,Absent,18.2,66.18182