Family,Common name,Scientific name,weight_g,months_chagos
noddy,Brown noddy,Anous stolidus ,189,12
noddy,Lesser noddy,Anous tenuirostris ,109,12
shearwater,Wedge-tailed shearwater,Ardenna pacifica,435,6
frigatebird,Lesser frigatebird,Fregata ariel,804,12
frigatebird,Great frigatebird,Fregata minor,1314,12
tern,Fairy tern/White tern,Gygis alba ,117,12
tern,Bridled tern,Onychoprion anaethetus,145,6
tern,Sooty tern,Onychoprion fuscatus ,183,6
tropicbird,White-tailed tropicbird,Phaethon lepturus,315,6
shearwater,Tropical shearwater,Puffinus bailloni,191,6
tern,Roseate tern,Sterna dougallii ,113,4
tern,Black-naped tern,Sterna sumatrana ,109,4
booby,Brown booby,Sula leucogaster,1363,12
booby,Red-footed booby,Sula sula,975,12
tern,Crested tern,Thalasseus bergii ,360,5